EX,EM,69r0,69r2,69r8,69r32,69r128,69r512
630,"456,751",0,0,0,0,0,0
630,"461,392",0,0,0,0,0,0
630,"466,035",0,0,0,0,0,0
630,"470,681",0,0,0,0,0,0
630,"475,329",0,0,0,0,0,0
630,"479,98",0,0,0,0,0,0
630,"484,634",0,0,0,0,0,0
630,"489,291",0,0,0,0,0,0
630,"493,95",0,0,0,0,0,0
630,"498,612",0,0,0,0,0,0
630,"503,276",0,0,0,0,0,0
630,"507,943",0,0,0,0,0,0
630,"512,612",0,0,0,0,0,0
630,"517,284",0,0,0,0,0,0
630,"521,959",0,0,0,0,0,0
630,"526,635",0,0,0,0,0,0
630,"531,314",0,0,0,0,0,0
630,"535,996",0,0,0,0,0,0
630,"540,68",0,0,0,0,0,0
630,"545,366",0,0,0,0,0,0
630,"550,055",0,0,0,0,0,0
630,"554,746",0,0,0,0,0,0
630,"559,439",0,0,0,0,0,0
630,"564,134",0,0,0,0,0,0
630,"568,832",0,0,0,0,0,0
630,"573,532",0,0,0,0,0,0
630,"578,234",0,0,0,0,0,0
630,"582,938",0,0,0,0,0,0
630,"587,644",0,0,0,0,0,0
630,"592,352",0,0,0,0,0,0
630,"597,062",0,0,0,0,0,0
630,"601,775",0,0,0,0,0,0
630,"606,489",0,0,0,0,0,0
630,"611,205",0,0,0,0,0,0
630,"615,923",0,0,0,0,0,0
630,"620,644",0,0,0,0,0,0
630,"625,366",0,0,0,0,0,0
630,"630,089",0,0,0,0,0,0
630,"634,815",0,0,0,0,0,0
630,"639,543",0,0,0,0,0,0
630,"644,272","1,585,032","2,530,659","1,585,356","-1,249,717","955,127","-1,353,894"
630,"649,003","3,232,461","3,339,309","408,801","667,909","5,048,898","668,737"
630,"653,736","543,145",-821,"-1,961,305","543,196","107,922","1,413,245"
630,"658,47","871,913","-2,872,999","-66,921","431,585","-999,998","-2,431,157"
630,"663,206","680,458","6,949,754","1,464,016","1,351,801","1,575,566","-1,668,536"
630,"667,944","2,292,261","3,194,899","3,872,627","5,566,705","53,408","373,709"
630,"672,683","2,638,262","354,688","-1,359,685","2,295,896","2,866,563","-1,470,065"
630,"677,424","1,601,868","-475,063","-3,363,219","-360,308","-3,707,877","-359,199"
630,"682,166","2,712,473","3,647,276","317,973","4,581,613","960,221","539,869"
630,"686,91","2,860,019","2,859,946","-45,206","4,041,731","2,032,864","2,860,046"
630,"691,656","-2,155,391","-2,707","835,369","-1,796,761","-720,422","-323,096"
630,"696,403","239,221","-487,412","-2,305,724","-2,936","-3,878,002","-5,087,784"
630,"701,151","1,227,826","-612,865","492,109","-857,854","1,718,582","246,338"
630,"705,901","749,512","125,767","625,275","-2,743,684","1,016","1,248,248"
630,"710,652","-378,027","2,410,665","-101,282","-1,518,452","-124,636","382,134"
